,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Engine(in-CC),Power(in-bhp),Colour,Seats,Price,company_name
691,Fiat Linea,Coimbatore,2013,60283.0,Petrol,Manual,14.6,1368,112.0,White,5.0,2.98,Fiat
692,BMW 5,Bangalore,2015,14000.0,Diesel,Automatic,18.12,1995,190.0,White,5.0,35.0,BMW
693,Toyota Camry,Pune,2018,17585.0,Petrol,Automatic,19.16,2494,157.7,Black/Silver,5.0,32.0,Toyota
694,Porsche Cayenne,Kochi,2015,47877.0,Diesel,Automatic,15.15,2967,240.0,Others,5.0,48.22,Porsche
695,Mercedes-Benz A,Kochi,2016,35437.0,Diesel,Automatic,20.0,2143,136.0,Black/Silver,5.0,18.58,Mercedes-Benz
696,Maruti Swift,Kochi,2016,19148.0,Petrol,Manual,16.1,1197,85.0,Others,5.0,5.89,Maruti
697,Maruti Swift,Coimbatore,2014,58310.0,Petrol,Manual,19.1,1197,85.8,Black/Silver,5.0,5.39,Maruti
698,Jaguar XF,Delhi,2014,48000.0,Diesel,Automatic,16.36,2179,187.7,Black/Silver,5.0,26.5,Jaguar
699,Hyundai i20,Pune,2012,39000.0,Petrol,Manual,18.5,1197,80.0,Black/Silver,5.0,2.75,Hyundai
700,Maruti Alto,Chennai,2010,94385.0,Petrol,Manual,19.7,796,46.3,White,5.0,1.6,Maruti
701,Maruti Wagon,Jaipur,2017,35362.0,Petrol,Manual,22.5,998,67.04,Others,5.0,3.85,Maruti
702,Ford Figo,Chennai,2010,90000.0,Diesel,Manual,20.0,1399,68.0,Others,5.0,2.6,Ford
703,Toyota Fortuner,Kochi,2014,56501.0,Diesel,Automatic,12.9,2755,174.5,Black/Silver,7.0,17.71,Toyota
704,Hyundai i10,Bangalore,2009,37000.0,Petrol,Automatic,16.95,1197,78.9,White,5.0,2.95,Hyundai
705,Hyundai i20,Kochi,2016,69681.0,Petrol,Manual,17.0,1197,80.0,White,5.0,6.13,Hyundai
706,Volkswagen Passat,Hyderabad,2011,81650.0,Diesel,Automatic,18.33,1968,167.7,White,5.0,7.5,Volkswagen
707,Audi A4,Coimbatore,2016,68193.0,Diesel,Automatic,17.11,1968,174.33,Others,5.0,24.74,Audi
708,BMW 7,Mumbai,2011,55000.0,Diesel,Automatic,16.46,2993,258.0,Others,5.0,19.5,BMW
709,Audi A4,Kolkata,2008,17000.0,Diesel,Automatic,15.2,1968,140.8,White,5.0,9.75,Audi
710,Hyundai EON,Mumbai,2016,25350.0,Petrol,Manual,21.1,814,55.2,White,5.0,2.55,Hyundai
711,Volkswagen Jetta,Kochi,2012,58775.0,Diesel,Manual,19.33,1968,138.1,Others,5.0,5.64,Volkswagen
712,Maruti Swift,Mumbai,2013,65000.0,Diesel,Manual,19.3,1248,73.9,Others,5.0,4.99,Maruti
713,Fiat Avventura,Pune,2014,52782.0,Diesel,Manual,20.5,1248,91.72,Others,5.0,4.85,Fiat
714,Land Rover Range,Kochi,2016,29022.0,Diesel,Automatic,15.68,1999,177.0,Others,5.0,34.08,Land
715,Tata Safari,Jaipur,2016,36000.0,Diesel,Manual,14.1,2179,148.0,Black/Silver,7.0,10.0,Tata
716,Mahindra Scorpio,Delhi,2012,85000.0,Diesel,Automatic,11.79,2179,120.0,White,7.0,6.25,Mahindra
717,Audi Q3,Mumbai,2015,48000.0,Diesel,Automatic,15.73,1968,174.33,Others,5.0,18.75,Audi
718,Volkswagen Polo,Delhi,2013,65088.0,Petrol,Manual,16.47,1198,73.9,White,5.0,3.25,Volkswagen
719,Hyundai Creta,Coimbatore,2017,36458.0,Petrol,Manual,15.29,1591,121.3,Others,5.0,12.34,Hyundai
720,Maruti Alto,Hyderabad,2013,30131.0,Petrol,Manual,20.92,998,67.1,Black/Silver,5.0,2.65,Maruti
721,Toyota Innova,Ahmedabad,2013,119000.0,Diesel,Manual,12.99,2494,100.0,Others,8.0,8.0,Toyota
722,Maruti Wagon,Chennai,2006,40000.0,Petrol,Manual,18.9,998,67.1,White,5.0,2.0,Maruti
723,Hyundai i10,Coimbatore,2014,41016.0,Petrol,Automatic,16.95,1197,78.9,Black/Silver,5.0,5.08,Hyundai
724,Ford EcoSport,Mumbai,2017,30000.0,Diesel,Manual,23.0,1498,98.96,White,5.0,8.99,Ford
725,Maruti Alto,Kochi,2016,32227.0,Petrol,Manual,22.74,796,47.3,White,5.0,3.26,Maruti
726,BMW 3,Mumbai,2009,52100.0,Diesel,Automatic,13.2,1995,170.0,Others,5.0,7.5,BMW
727,Hyundai Grand,Hyderabad,2017,20000.0,Petrol,Manual,18.9,1197,81.86,White,5.0,5.98,Hyundai
729,BMW X1,Kolkata,2017,27001.0,Diesel,Automatic,20.68,1995,190.0,Others,5.0,29.0,BMW
730,Tata Nano,Kochi,2012,4187.0,Petrol,Manual,26.0,624,35.0,Others,4.0,1.38,Tata
731,Chevrolet Beat,Pune,2014,8700.0,Petrol,Manual,18.6,1199,76.8,Others,5.0,2.55,Chevrolet
732,Toyota Innova,Bangalore,2017,53841.0,Diesel,Automatic,11.36,2755,171.5,Others,7.0,20.5,Toyota
733,Chevrolet Optra,Pune,2011,75372.0,Diesel,Manual,16.52,1991,123.7,White,5.0,3.34,Chevrolet
734,Hyundai i20,Delhi,2015,42000.0,Petrol,Manual,17.0,1197,80.0,Black/Silver,5.0,5.1,Hyundai
735,Honda City,Jaipur,2011,95936.0,Petrol,Manual,17.0,1497,118.0,Others,5.0,4.1,Honda
736,Hyundai Creta,Kochi,2016,36855.0,Petrol,Manual,15.29,1591,121.3,White,5.0,8.77,Hyundai
737,Maruti Alto,Delhi,2012,65537.0,CNG,Manual,26.83,796,38.4,Others,5.0,2.1,Maruti
738,Mahindra XUV500,Mumbai,2012,35000.0,Diesel,Manual,16.0,2179,140.0,Others,7.0,8.25,Mahindra
739,Chevrolet Beat,Pune,2011,65000.0,Petrol,Manual,18.6,1199,79.4,White,5.0,2.5,Chevrolet
740,Nissan Terrano,Mumbai,2014,50000.0,Diesel,Manual,19.01,1461,108.5,Others,5.0,6.5,Nissan
741,Mercedes-Benz M-Class,Bangalore,2011,54000.0,Diesel,Automatic,14.0,2987,224.0,White,5.0,21.99,Mercedes-Benz
742,Hyundai Xcent,Coimbatore,2016,21495.0,Petrol,Manual,19.1,1197,81.86,Black/Silver,5.0,6.16,Hyundai
743,Skoda Rapid,Mumbai,2013,45000.0,Diesel,Manual,20.5,1598,103.5,Black/Silver,5.0,3.65,Skoda
744,Honda CR-V,Hyderabad,2008,82167.0,Petrol,Automatic,10.1,2354,152.0,Others,5.0,5.4,Honda
745,Toyota Corolla,Mumbai,2008,110000.0,Petrol,Automatic,14.53,1798,138.1,Black/Silver,5.0,2.75,Toyota
746,Maruti Ertiga,Kolkata,2014,45617.0,Diesel,Manual,20.77,1248,88.76,Others,7.0,5.85,Maruti
747,Toyota Innova,Kochi,2019,14076.0,Diesel,Automatic,11.36,2755,171.5,White,7.0,19.4,Toyota
748,Renault Pulse,Coimbatore,2014,31897.0,Petrol,Manual,18.06,1198,74.96,White,5.0,4.69,Renault
749,Mahindra Bolero,Mumbai,2016,40448.0,Diesel,Manual,15.96,2523,62.1,White,7.0,3.5,Mahindra
750,Maruti Celerio,Chennai,2016,12000.0,Petrol,Automatic,23.1,998,67.04,Black/Silver,5.0,4.25,Maruti
751,Maruti Wagon,Delhi,2012,65000.0,Petrol,Manual,18.9,998,67.1,White,5.0,2.65,Maruti
752,Maruti Ritz,Delhi,2014,32805.0,Diesel,Manual,23.2,1248,73.94,White,5.0,3.6,Maruti
753,Toyota Innova,Jaipur,2006,147350.0,Diesel,Manual,12.99,2494,100.6,Others,8.0,4.95,Toyota
754,Volkswagen Vento,Jaipur,2011,50000.0,Diesel,Manual,20.54,1598,103.6,Black/Silver,5.0,5.0,Volkswagen
755,Hyundai i10,Jaipur,2008,82203.0,Petrol,Manual,19.81,1086,68.05,Others,5.0,1.8,Hyundai
756,Honda WRV,Ahmedabad,2017,32248.0,Petrol,Manual,17.5,1199,88.7,Black/Silver,5.0,8.25,Honda
757,Volkswagen Polo,Pune,2013,57000.0,Petrol,Manual,16.47,1198,73.9,Others,5.0,3.75,Volkswagen
758,Maruti Swift,Mumbai,2013,35000.0,Diesel,Manual,22.9,1248,74.0,Black/Silver,5.0,4.65,Maruti
759,Toyota Innova,Delhi,2011,72000.0,Diesel,Manual,12.8,2494,102.0,White,7.0,7.1,Toyota
760,Ford EcoSport,Kolkata,2017,30000.0,Diesel,Manual,22.77,1498,98.59,White,5.0,6.0,Ford
761,Nissan Terrano,Mumbai,2014,40206.0,Diesel,Manual,19.01,1461,108.5,Others,5.0,7.22,Nissan
762,Honda City,Delhi,2015,53000.0,Petrol,Manual,17.8,1497,117.3,Others,5.0,6.95,Honda
763,Volkswagen Polo,Mumbai,2012,45000.0,Diesel,Manual,22.07,1199,73.9,Others,5.0,3.6,Volkswagen
764,Maruti Swift,Chennai,2013,49000.0,Petrol,Manual,18.6,1197,85.8,White,5.0,4.45,Maruti
765,Tata Manza,Mumbai,2010,41195.0,Petrol,Manual,15.0,1368,90.0,White,5.0,1.38,Tata
766,Toyota Fortuner,Mumbai,2009,92000.0,Diesel,Manual,11.5,2982,171.0,Others,7.0,8.9,Toyota
767,BMW 3,Delhi,2012,76000.0,Diesel,Automatic,16.07,1995,181.0,Black/Silver,4.0,8.75,BMW
768,Chevrolet Cruze,Pune,2009,73204.0,Diesel,Automatic,18.1,1991,147.9,White,4.0,3.5,Chevrolet
769,Maruti 800,Pune,2003,52000.0,Petrol,Manual,16.1,796,37.0,Black/Silver,4.0,0.5,Maruti
770,Toyota Fortuner,Mumbai,2012,87000.0,Diesel,Automatic,12.55,2982,168.5,Others,7.0,15.0,Toyota
771,Maruti SX4,Mumbai,2008,62000.0,Petrol,Manual,15.0,1586,104.68,White,5.0,2.11,Maruti
772,BMW X1,Mumbai,2014,69000.0,Diesel,Automatic,17.05,1995,184.0,Others,5.0,16.25,BMW
773,Mercedes-Benz New,Bangalore,2016,37944.0,Diesel,Automatic,14.84,2143,167.62,Black/Silver,5.0,35.0,Mercedes-Benz
774,Volkswagen Vento,Bangalore,2014,58000.0,Diesel,Manual,20.34,1498,103.2,Others,5.0,6.5,Volkswagen
775,Honda Mobilio,Kolkata,2014,45000.0,Diesel,Manual,24.2,1498,98.6,Others,7.0,5.0,Honda
776,Maruti Wagon,Kolkata,2013,46000.0,Petrol,Manual,18.9,998,67.1,Black/Silver,5.0,2.65,Maruti
777,Toyota Innova,Hyderabad,2014,158793.0,Diesel,Manual,12.8,2494,102.0,White,7.0,12.99,Toyota
778,Ford Endeavour,Kochi,2012,45840.0,Diesel,Automatic,11.4,2953,153.86,Others,7.0,8.41,Ford
779,Hyundai Xcent,Pune,2016,76000.0,Diesel,Manual,24.4,1120,71.0,Black/Silver,5.0,3.8,Hyundai
780,Toyota Innova,Chennai,2017,67489.0,Diesel,Manual,13.68,2393,147.8,White,7.0,16.5,Toyota
781,Maruti Ertiga,Hyderabad,2015,59000.0,Diesel,Manual,20.77,1248,88.8,White,7.0,7.5,Maruti
782,Mercedes-Benz S-Class,Kochi,2004,119859.0,Petrol,Automatic,13.0,2987,210.0,White,5.0,7.1,Mercedes-Benz
783,Renault Duster,Kochi,2013,63295.0,Diesel,Manual,19.01,1461,108.45,Others,5.0,6.09,Renault
784,Mercedes-Benz E-Class,Kochi,2009,80464.0,Diesel,Automatic,11.0,2987,198.5,Others,5.0,9.29,Mercedes-Benz
785,Hyundai Grand,Delhi,2014,65000.0,Diesel,Manual,24.0,1120,70.0,White,5.0,3.99,Hyundai
786,Mercedes-Benz E-Class,Pune,2009,100000.0,Diesel,Automatic,11.0,2987,198.5,Others,5.0,11.5,Mercedes-Benz
787,BMW 7,Pune,2008,66000.0,Petrol,Automatic,8.45,2979,321.0,White,5.0,10.75,BMW
788,Maruti Swift,Hyderabad,2014,89000.0,Diesel,Manual,25.2,1248,74.0,Black/Silver,5.0,5.85,Maruti
789,Ford Ikon,Chennai,2007,90000.0,Petrol,Manual,13.8,1299,70.0,Others,5.0,1.4,Ford
790,Skoda Octavia,Delhi,2016,49000.0,Diesel,Automatic,19.3,1968,141.0,Others,5.0,15.45,Skoda
791,Ford Figo,Coimbatore,2017,25095.0,Petrol,Manual,18.16,1196,86.8,Black/Silver,5.0,6.48,Ford
792,Hyundai i10,Jaipur,2010,52000.0,Petrol,Manual,19.81,1086,68.05,Others,5.0,2.25,Hyundai
793,Volkswagen Polo,Ahmedabad,2014,44000.0,Petrol,Manual,16.47,1198,74.0,Black/Silver,5.0,4.3,Volkswagen
794,Tata Indica,Chennai,2011,120000.0,Diesel,Manual,18.0,1248,75.0,Black/Silver,5.0,1.75,Tata
795,Honda Jazz,Hyderabad,2016,31700.0,Petrol,Manual,18.7,1199,88.7,Others,5.0,6.45,Honda
796,Maruti Ertiga,Ahmedabad,2018,38000.0,Diesel,Manual,24.52,1248,88.5,White,7.0,8.7,Maruti
797,Maruti Wagon,Mumbai,2015,55000.0,Petrol,Manual,21.5,1197,81.8,Black/Silver,5.0,3.1,Maruti
798,Hyundai Verna,Kolkata,2013,47000.0,Diesel,Manual,22.32,1582,126.32,White,5.0,4.35,Hyundai
799,Hyundai i10,Hyderabad,2011,54348.0,Petrol,Automatic,19.2,1197,80.0,Others,5.0,4.0,Hyundai
800,Nissan Sunny,Delhi,2012,52000.0,Diesel,Manual,21.64,1461,84.8,Black/Silver,5.0,3.5,Nissan
801,Hyundai i10,Kolkata,2010,27089.0,Petrol,Manual,16.0,1086,66.7,Black/Silver,5.0,1.95,Hyundai
802,Hyundai Elite,Jaipur,2016,30292.0,Petrol,Manual,18.6,1197,81.86,Black/Silver,5.0,6.1,Hyundai
803,Chevrolet Beat,Hyderabad,2012,72921.0,Diesel,Manual,25.44,936,57.6,White,5.0,2.5,Chevrolet
804,Volkswagen Jetta,Mumbai,2014,61000.0,Diesel,Automatic,16.96,1968,138.03,White,5.0,8.25,Volkswagen
805,Toyota Corolla,Kochi,2013,74290.0,Diesel,Manual,21.43,1364,87.2,White,5.0,5.87,Toyota
806,Hyundai EON,Jaipur,2015,54680.0,Petrol,Manual,21.1,814,55.2,Others,5.0,2.5,Hyundai
807,Mercedes-Benz A,Bangalore,2014,8000.0,Diesel,Automatic,20.0,2143,107.3,Black/Silver,5.0,19.75,Mercedes-Benz
808,Hyundai i20,Mumbai,2014,12400.0,Diesel,Manual,21.9,1396,88.8,Others,5.0,4.65,Hyundai
809,Hyundai Grand,Coimbatore,2017,74515.0,Petrol,Manual,18.9,1197,82.0,Others,5.0,5.64,Hyundai
810,Hyundai Verna,Hyderabad,2012,83678.0,Diesel,Manual,22.32,1582,126.32,Others,5.0,5.5,Hyundai
811,Chevrolet Aveo,Jaipur,2006,100000.0,Petrol,Manual,14.49,1399,92.7,White,5.0,1.4,Chevrolet
812,Ford Mustang,Kochi,2018,21290.0,Petrol,Automatic,13.0,4951,395.0,Others,4.0,56.8,Ford
813,Tata Indigo,Jaipur,2008,128813.0,Diesel,Manual,19.09,1396,69.0,White,5.0,1.5,Tata
814,Ford Endeavour,Pune,2009,180000.0,Diesel,Manual,10.9,2499,143.0,Others,7.0,7.5,Ford
815,Toyota Etios,Pune,2012,111000.0,Diesel,Manual,23.59,1364,67.1,White,5.0,4.75,Toyota
816,Hyundai Creta,Pune,2015,70000.0,Diesel,Manual,19.67,1582,126.2,White,5.0,12.25,Hyundai
817,Maruti Ritz,Coimbatore,2011,50318.0,Petrol,Manual,18.5,1197,85.8,Black/Silver,5.0,4.06,Maruti
818,Volkswagen Polo,Kolkata,2013,38000.0,Petrol,Manual,16.47,1198,73.9,Black/Silver,5.0,2.8,Volkswagen
819,Toyota Fortuner,Chennai,2011,190000.0,Diesel,Manual,11.5,2982,171.0,Black/Silver,7.0,13.0,Toyota
820,Maruti S,Kolkata,2016,45000.0,Diesel,Manual,22.7,1598,118.0,Others,5.0,7.0,Maruti
821,Mahindra XUV500,Coimbatore,2015,42999.0,Diesel,Manual,15.1,2179,140.0,Black/Silver,7.0,11.52,Mahindra
822,Hyundai Verna,Chennai,2015,85000.0,Diesel,Manual,23.9,1582,126.2,Black/Silver,5.0,6.3,Hyundai
823,Hyundai Verna,Kolkata,2017,25000.0,Diesel,Manual,23.9,1582,126.2,Others,5.0,8.65,Hyundai
824,Honda City,Delhi,2011,67031.0,Petrol,Manual,17.4,1497,117.3,Others,5.0,4.0,Honda
825,Mahindra XUV500,Hyderabad,2015,102626.0,Diesel,Manual,16.0,2179,140.0,White,7.0,12.25,Mahindra
826,Mercedes-Benz M-Class,Mumbai,2009,66000.0,Diesel,Automatic,8.7,2987,224.34,White,5.0,10.75,Mercedes-Benz
827,Ford Figo,Kolkata,2011,37000.0,Diesel,Manual,20.0,1399,68.05,Black/Silver,5.0,1.8,Ford
828,Ford Ecosport,Delhi,2014,75136.0,Diesel,Manual,22.7,1498,89.84,Others,5.0,6.15,Ford
829,Land Rover Freelander,Kochi,2014,59885.0,Diesel,Automatic,12.39,2179,147.51,Black/Silver,5.0,20.11,Land
830,Hyundai Xcent,Bangalore,2016,50000.0,Petrol,Manual,19.1,1197,82.0,White,5.0,2.5,Hyundai
831,Volkswagen Vento,Chennai,2013,55000.0,Diesel,Manual,20.54,1598,103.6,Others,5.0,6.1,Volkswagen
832,Maruti Baleno,Jaipur,2018,4131.0,Petrol,Automatic,21.4,1197,83.1,Black/Silver,5.0,7.75,Maruti
833,Hyundai i10,Kochi,2017,42883.0,Petrol,Manual,19.81,1086,68.05,Black/Silver,5.0,4.27,Hyundai
834,Maruti Swift,Kolkata,2013,22000.0,Diesel,Manual,23.4,1248,74.0,White,5.0,4.5,Maruti
835,Tata Zest,Coimbatore,2018,38310.0,Diesel,Manual,20.65,1248,88.7,Others,5.0,6.69,Tata
836,Honda City,Coimbatore,2016,60805.0,Diesel,Manual,26.0,1498,98.6,White,5.0,8.07,Honda
837,Toyota Etios,Kolkata,2015,12000.0,Petrol,Manual,16.78,1496,88.73,White,5.0,4.5,Toyota
838,Tata Manza,Mumbai,2013,64000.0,Diesel,Manual,21.02,1248,88.76,Others,5.0,2.65,Tata
839,Volvo V40,Pune,2013,92000.0,Diesel,Automatic,23.3,1984,150.0,Black/Silver,5.0,16.0,Volvo
840,Hyundai i20,Pune,2012,83000.0,Diesel,Manual,23.0,1396,90.0,White,5.0,5.5,Hyundai
841,BMW 5,Jaipur,2017,19543.0,Diesel,Automatic,18.12,1995,190.0,Black/Silver,5.0,40.5,BMW
842,Volkswagen Polo,Delhi,2016,29754.0,Petrol,Manual,16.2,1199,74.0,White,5.0,5.3,Volkswagen
843,Hyundai Creta,Mumbai,2018,13000.0,Diesel,Manual,22.1,1396,88.7,White,5.0,10.5,Hyundai
844,Mahindra XUV500,Mumbai,2015,82000.0,Diesel,Manual,16.0,2179,140.0,White,7.0,8.75,Mahindra
845,Audi Q3,Bangalore,2015,76927.0,Diesel,Automatic,15.73,1968,174.33,Others,5.0,22.75,Audi
846,Maruti Ritz,Kochi,2015,35314.0,Diesel,Manual,23.2,1248,73.94,Others,5.0,4.27,Maruti
847,Chevrolet Aveo,Coimbatore,2010,64236.0,Petrol,Manual,14.7,1150,76.0,White,5.0,2.44,Chevrolet
848,Jeep Compass,Mumbai,2017,52000.0,Diesel,Manual,16.3,1956,170.0,Others,5.0,20.0,Jeep
849,Hyundai i20,Kolkata,2013,25500.0,Diesel,Manual,21.9,1396,88.76,Black/Silver,5.0,3.55,Hyundai
850,Hyundai i20,Coimbatore,2011,68439.0,Diesel,Manual,23.0,1396,90.0,Others,5.0,3.37,Hyundai
851,Hyundai i10,Ahmedabad,2012,58000.0,Petrol,Automatic,16.95,1197,78.9,White,5.0,3.5,Hyundai
853,Ford EcoSport,Kochi,2018,37160.0,Diesel,Manual,22.77,1498,98.59,Others,5.0,9.46,Ford
854,Land Rover Freelander,Hyderabad,2011,68000.0,Diesel,Automatic,12.39,2179,147.51,White,5.0,22.0,Land
855,Hyundai Creta,Delhi,2015,27057.0,Petrol,Manual,15.29,1591,121.3,White,5.0,8.15,Hyundai
856,Mahindra Scorpio,Delhi,2012,76777.0,Diesel,Manual,12.05,2179,120.0,Black/Silver,8.0,4.88,Mahindra
857,Maruti Swift,Delhi,2013,70000.0,Diesel,Manual,22.9,1248,74.0,Black/Silver,5.0,3.5,Maruti
858,Mercedes-Benz E-Class,Coimbatore,2016,41082.0,Diesel,Automatic,13.0,2143,204.0,Black/Silver,5.0,38.76,Mercedes-Benz
859,Toyota Corolla,Chennai,2007,89000.0,Petrol,Manual,13.4,1794,125.0,Others,5.0,3.0,Toyota
860,Renault KWID,Delhi,2017,15000.0,Petrol,Manual,21.7,999,67.0,Black/Silver,5.0,4.25,Renault
861,Maruti Swift,Mumbai,2011,14000.0,Petrol,Manual,17.5,1197,85.8,White,5.0,3.2,Maruti
862,Honda City,Jaipur,2011,55000.0,Petrol,Manual,17.0,1497,118.0,White,5.0,4.21,Honda
863,Maruti Swift,Kochi,2017,37124.0,Petrol,Manual,20.4,1197,81.8,Others,5.0,5.44,Maruti
864,Volkswagen Polo,Kolkata,2016,29000.0,Diesel,Manual,20.14,1498,88.8,Others,5.0,4.0,Volkswagen
865,Honda City,Jaipur,2010,48689.0,Petrol,Manual,17.4,1497,117.3,Black/Silver,5.0,3.87,Honda
866,Honda Jazz,Hyderabad,2016,45671.0,Diesel,Manual,27.3,1498,98.6,White,5.0,7.2,Honda
867,Maruti Swift,Kochi,2018,52010.0,Diesel,Manual,25.2,1248,74.0,White,5.0,6.2,Maruti
868,Ford Ecosport,Kochi,2014,43316.0,Petrol,Manual,18.88,999,123.37,Others,5.0,6.22,Ford
869,Volkswagen Polo,Jaipur,2011,46000.0,Petrol,Manual,16.47,1198,73.9,White,5.0,3.05,Volkswagen
870,Maruti Baleno,Hyderabad,2017,20000.0,Diesel,Manual,27.39,1248,74.0,Others,5.0,8.5,Maruti
871,Tata Indigo,Chennai,2008,73000.0,Petrol,Manual,14.4,1396,65.0,Others,5.0,0.8,Tata
872,Maruti Celerio,Bangalore,2015,48808.0,Petrol,Manual,23.1,998,67.04,Others,5.0,4.3,Maruti
873,Honda City,Delhi,2015,33000.0,Diesel,Manual,26.0,1498,98.6,White,5.0,7.0,Honda
874,Tata Indigo,Jaipur,2012,30000.0,Petrol,Manual,15.64,1193,64.08,Others,5.0,2.3,Tata
875,Honda Amaze,Bangalore,2013,61510.0,Diesel,Manual,25.8,1498,98.6,Black/Silver,5.0,4.75,Honda
876,Skoda Rapid,Mumbai,2017,32000.0,Petrol,Automatic,14.84,1598,103.52,Black/Silver,5.0,8.11,Skoda
877,Toyota Innova,Kochi,2015,59751.0,Diesel,Manual,12.99,2494,100.6,White,7.0,11.62,Toyota
878,Honda City,Kochi,2019,5377.0,Petrol,Manual,16.8,1497,116.3,Others,5.0,11.45,Honda
879,Maruti Swift,Jaipur,2012,73000.0,Diesel,Manual,23.4,1248,74.0,White,5.0,4.35,Maruti
880,Mercedes-Benz New,Jaipur,2016,58205.0,Diesel,Automatic,19.27,2143,167.62,White,5.0,27.0,Mercedes-Benz
881,Tata Xenon,Jaipur,2017,1000.0,Diesel,Manual,13.49,2179,138.03,Black/Silver,5.0,7.5,Tata
882,Honda City,Coimbatore,2017,65792.0,Diesel,Manual,26.0,1498,98.6,Black/Silver,5.0,8.11,Honda
883,Maruti Wagon,Kochi,2011,36411.0,Petrol,Manual,18.9,998,67.1,Black/Silver,5.0,3.08,Maruti
884,Skoda Laura,Chennai,2012,77216.0,Diesel,Manual,17.5,1896,106.0,White,5.0,4.5,Skoda
885,Maruti Swift,Kolkata,2015,107000.0,Petrol,Manual,20.85,1197,83.14,Others,5.0,4.0,Maruti
886,Mercedes-Benz New,Hyderabad,2013,21000.0,Diesel,Automatic,14.84,2143,170.0,White,5.0,23.5,Mercedes-Benz
887,Honda CR-V,Chennai,2007,98000.0,Petrol,Manual,10.8,2354,152.0,Black/Silver,5.0,4.7,Honda
888,Maruti Wagon,Delhi,2016,30000.0,Petrol,Automatic,22.5,998,67.0,Others,5.0,4.25,Maruti
889,Toyota Etios,Kochi,2013,56344.0,Petrol,Manual,17.6,1496,88.73,Others,5.0,4.57,Toyota
890,Toyota Corolla,Mumbai,2016,52001.0,Petrol,Automatic,14.28,1798,138.03,White,5.0,10.11,Toyota
891,Maruti Swift,Jaipur,2008,78000.0,Diesel,Manual,19.3,1248,73.9,Others,5.0,2.3,Maruti
892,Hyundai Grand,Coimbatore,2014,33496.0,Petrol,Manual,18.9,1197,81.86,Others,5.0,5.5,Hyundai
893,BMW 3,Pune,2016,70000.0,Diesel,Automatic,21.76,1995,190.0,White,5.0,27.0,BMW
894,Toyota Innova,Mumbai,2013,51450.0,Diesel,Manual,12.8,2494,102.0,Black/Silver,7.0,10.4,Toyota
895,Nissan Sunny,Chennai,2016,90000.0,Petrol,Manual,16.95,1498,97.6,Black/Silver,5.0,6.2,Nissan
896,Skoda Rapid,Kochi,2018,21488.0,Petrol,Automatic,14.3,1598,103.52,White,5.0,9.72,Skoda
897,Mercedes-Benz M-Class,Mumbai,2011,100000.0,Diesel,Automatic,14.0,2987,224.0,Others,5.0,14.41,Mercedes-Benz
898,Skoda Superb,Delhi,2012,56400.0,Diesel,Automatic,17.2,1968,138.1,Others,5.0,8.0,Skoda
899,Nissan Micra,Kolkata,2011,44000.0,Petrol,Automatic,19.15,1198,75.94,Black/Silver,5.0,2.65,Nissan
900,Mitsubishi Pajero,Jaipur,2014,70000.0,Diesel,Manual,13.5,2477,175.56,Others,7.0,11.85,Mitsubishi
901,Maruti Omni,Jaipur,2012,126000.0,Petrol,Manual,16.8,796,34.2,White,5.0,1.6,Maruti
902,Maruti Swift,Pune,2010,105000.0,Diesel,Manual,19.3,1248,73.9,Others,5.0,3.15,Maruti
903,Honda City,Mumbai,2009,70000.0,Petrol,Manual,17.0,1497,118.0,Black/Silver,5.0,2.1,Honda
904,Honda City,Kochi,2017,39430.0,Petrol,Automatic,18.0,1497,117.3,Black/Silver,5.0,8.29,Honda
905,Mahindra XUV500,Kochi,2013,61672.0,Diesel,Manual,16.0,2179,140.0,Black/Silver,7.0,7.53,Mahindra
906,Honda City,Kochi,2018,11732.0,Petrol,Manual,17.4,1497,117.3,Black/Silver,5.0,10.07,Honda
907,Toyota Fortuner,Coimbatore,2012,91235.0,Diesel,Manual,11.5,2982,171.0,White,7.0,13.49,Toyota
908,Maruti Eeco,Ahmedabad,2015,47001.0,CNG,Manual,20.0,1196,63.0,White,5.0,3.72,Maruti
909,Hyundai i20,Mumbai,2017,18673.0,Petrol,Manual,18.6,1197,81.83,Others,5.0,6.22,Hyundai
910,Mercedes-Benz M-Class,Coimbatore,2012,63888.0,Diesel,Automatic,14.0,2987,224.0,Black/Silver,5.0,22.58,Mercedes-Benz
911,Audi A4,Jaipur,2011,105000.0,Diesel,Automatic,16.55,1968,140.0,White,5.0,14.5,Audi
912,Hyundai i20,Pune,2012,75000.0,Diesel,Manual,23.0,1396,90.0,Black/Silver,5.0,4.0,Hyundai
913,Audi A7,Kolkata,2012,24720.0,Diesel,Automatic,0.0,2967,241.4,Others,5.0,28.0,Audi
914,Mahindra XUV500,Ahmedabad,2015,72007.0,Diesel,Manual,15.1,2179,140.0,Black/Silver,7.0,9.9,Mahindra
915,Hyundai Grand,Kochi,2018,43698.0,Petrol,Manual,18.9,1197,82.0,Black/Silver,5.0,5.8,Hyundai
916,Audi A4,Delhi,2012,60000.0,Diesel,Automatic,15.2,1968,140.8,Others,5.0,10.2,Audi
917,Honda Accord,Mumbai,2008,95000.0,Petrol,Automatic,11.7,2354,177.6,White,5.0,2.85,Honda
